acc:0.197054698457223,best_acc:0
acc:0.1388499298737728,best_acc:0.197054698457223
acc:0.19004207573632537,best_acc:0.197054698457223
acc:0.2391304347826087,best_acc:0.197054698457223
acc:0.27279102384291726,best_acc:0.2391304347826087
acc:0.2833099579242637,best_acc:0.27279102384291726
acc:0.28330995792426367,best_acc:0.2833099579242637
acc:0.28190743338008417,best_acc:0.2833099579242637
acc:0.28541374474053294,best_acc:0.2833099579242637
acc:0.28541374474053294,best_acc:0.28541374474053294
acc:0.28401122019635344,best_acc:0.28541374474053294
acc:0.2833099579242637,best_acc:0.28541374474053294
acc:0.2805049088359046,best_acc:0.28541374474053294
acc:0.28401122019635344,best_acc:0.28541374474053294
acc:0.2805049088359046,best_acc:0.28541374474053294
acc:0.2805049088359046,best_acc:0.28541374474053294
acc:0.2762973352033661,best_acc:0.28541374474053294
acc:0.2762973352033661,best_acc:0.28541374474053294
acc:0.2762973352033661,best_acc:0.28541374474053294
acc:0.27699859747545585,best_acc:0.28541374474053294
acc:0.27769985974754563,best_acc:0.28541374474053294
acc:0.2762973352033661,best_acc:0.28541374474053294
acc:0.27769985974754563,best_acc:0.28541374474053294
acc:0.2762973352033661,best_acc:0.28541374474053294
acc:0.27489481065918653,best_acc:0.28541374474053294
acc:0.27279102384291726,best_acc:0.28541374474053294
acc:0.27138849929873776,best_acc:0.28541374474053294
acc:0.27138849929873776,best_acc:0.28541374474053294
acc:0.27138849929873776,best_acc:0.28541374474053294
acc:0.26928471248246844,best_acc:0.28541374474053294
acc:0.270687237026648,best_acc:0.28541374474053294
TEST:  acc:0.2482468443197756
